gene	family	description
ABCA1	ABC	"ATP-binding cassette, sub-family A (ABC1), member 1"
ABCA2	ABC	"ATP-binding cassette, sub-family A (ABC1), member 2"
ABCA3	ABC	"ATP-binding cassette, sub-family A (ABC1), member 3"
ABCA4	ABC	"ATP-binding cassette, sub-family A (ABC1), member 4"
ABCA5	ABC	"ATP-binding cassette, sub-family A (ABC1), member 5"
ABCA6	ABC	"ATP-binding cassette, sub-family A (ABC1), member 6"
ABCA7	ABC	"ATP-binding cassette, sub-family A (ABC1), member 7"
ABCA8	ABC	"ATP-binding cassette, sub-family A (ABC1), member 8"
ABCA9	ABC	"ATP-binding cassette, sub-family A (ABC1), member 9"
ABCA10	ABC	"ATP-binding cassette, sub-family A (ABC1), member 10"
ABCA11	ABC	"ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)"
ABCA12	ABC	"ATP-binding cassette, sub-family A (ABC1), member 12"
ABCA13	ABC	"ATP-binding cassette, sub-family A (ABC1), member 13"
ABCB4	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
ABCB5	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"
ABCB6	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"
ABCB7	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
ABCB8	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"
ABCB9	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"
ABCB10	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
ABCB10P	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene"
ABCB11	ABC	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
ABCC1	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"
ABCC2	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"
ABCC3	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
ABCC4	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
ABCC5	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
ABCC6	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"
ABCC8	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
ABCC9	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
ABCC10	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"
ABCC11	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"
ABCC12	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
ABCC13	ABC	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"
ABCD1	ABC	"ATP-binding cassette, sub-family D (ALD), member 1"
ABCD1P1	ABC	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1"
ABCD1P2	ABC	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2"
ABCD1P3	ABC	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3"
ABCD1P4	ABC	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4"
ABCD2	ABC	"ATP-binding cassette, sub-family D (ALD), member 2"
ABCD3	ABC	"ATP-binding cassette, sub-family D (ALD), member 3"
ABCD4	ABC	"ATP-binding cassette, sub-family D (ALD), member 4"
ABCE1	ABC	"ATP-binding cassette, sub-family E (OABP), member 1"
ABCF1	ABC	"ATP-binding cassette, sub-family F (GCN20), member 1"
